year,gdp_growth_pct,income_observation_n,income_mean_2025_usd,income_median_2025_usd,income_std_2025_usd,gini_pnad,pietra_pnad,kolkata_pnad,zanardi_pnad,gini_ipea,gini_world_bank,p90_p99_population_n,p90_p99_income_share_pct,p90_p99_mean_income_2025_usd,p90_p99_median_income_2025_usd,p90_p99_std_income_2025_usd,p99_p999_population_n,p99_p999_income_share_pct,p99_p999_mean_income_2025_usd,p99_p999_median_income_2025_usd,p99_p999_std_income_2025_usd,p999_p100_population_n,p999_p100_income_share_pct,p999_p100_mean_income_2025_usd,p999_p100_median_income_2025_usd,p999_p100_std_income_2025_usd
2006,3.96198871122617,115227,436.9365246095776,245.4992091514553,782.6841845726929,0.5710157172380894,0.42327988041732,0.7107741295824813,0.0130293355158118,0.575,0.556422105694,10370,32.68391003895448,1586.8206919052031,1382.3153668437797,630.6436139586344,1037,10.221978678053617,4962.823376767607,4570.856146363432,1227.2371157495184,116,2.967190037696338,12878.342704068313,10978.532952188878,6556.788135245383
2007,6.06987060678338,113221,522.7813351801578,306.9293747140675,922.416116774372,0.5668787248530295,0.4180726566379787,0.7082489914938854,0.0122801274866717,0.568,0.549191681065,10190,32.08921586696069,1863.940224941687,1636.9566651416933,743.8372954885684,1019,10.068095827985577,5848.173068532924,5401.956994967588,1483.4593603575247,114,3.025784618679514,15710.145941475688,12891.033737990834,6812.126849888033
2008,5.09419544658736,113245,590.8549033709035,341.62156395147366,1041.7139266449042,0.5598349140987726,0.4124621131797502,0.7053452328369226,0.0136121758402933,0.558,0.540375889542,10192,31.792532159979167,2087.207296866889,1811.0058811885349,819.1272913834629,1019,9.897795196142807,6499.263714786555,5906.348726148972,1724.4370138307545,114,3.080541861621533,18080.98740168732,15124.780253644338,8223.377395625877
2009,-0.125812002161169,116202,636.8295046612243,383.8207043994863,1124.2539480749867,0.5559048100990898,0.4087625735560034,0.7034998610165881,0.013360278541961,0.554,0.536820020289,10458,31.55335738871736,2232.7172011233474,1939.7390437393392,867.5968459428746,1046,9.75709942632914,6902.808500478503,6520.824870442885,1776.6898136352129,117,3.037379562877593,19211.00052818956,16267.394499580809,10725.877882304796
2011,3.97442307944702,104735,747.5173858471088,445.6841851072393,1229.733548261354,0.5427476870177501,0.3967568084341216,0.6974423209410953,0.0139340677950192,0.543,0.529417718899,9426,30.966150562433832,2572.011586452819,2234.9630787120823,1005.6448779347272,943,9.568808476061951,7944.36710311078,7359.922322871841,1937.6205540952585,105,2.6632657587841715,19858.12963286052,16355.382939715204,9754.109998005852
2012,1.92117598576537,108744,713.2815291380981,430.46131480024695,1172.9741388853918,0.535216239301141,0.3905414777097942,0.6944853224237815,0.0141312591538339,0.54,0.534459752729,9787,30.344266828055844,2404.8796203852457,2076.1799749208053,904.2651479530468,979,9.278447271971082,7351.211095062205,6920.599916402684,1895.9408618394405,109,2.838235099007652,20197.059748506887,16724.321757978727,9594.739607742427
2013,3.00482266944432,108864,691.9632268598933,414.5842190604457,1107.7643261430371,0.5363271946845347,0.3911144388702117,0.6945425916919192,0.0135029559952708,0.532,0.527108703138,9798,30.65890973271918,2357.1464952834585,2038.0666698059963,910.947946660736,980,9.146182605337248,7030.417156829596,6420.552065095398,1575.059314466351,109,2.6654571448751234,18420.970593871603,15287.028726417617,8368.142121998244
2014,0.503955740242247,114238,720.5192007201913,423.734843549664,1126.5746262454888,0.5248901286181104,0.3832161605192428,0.6906854668951767,0.0161443814244013,0.526,0.52051631641,10281,30.395689604577612,2433.50807410874,2128.038523683119,922.999986223766,1028,9.118204383124349,7300.832045997888,6827.749564710469,1716.5566521156975,115,2.504336224984287,17924.660758612376,14631.728023123756,8417.613022820535
2015,-3.54576339269425,114940,439.0207021121704,275.3922526799691,667.8388441535953,0.5229362857855651,0.3812025384546629,0.6896165933534835,0.0158952367870686,0.524,0.519366717318,10344,30.324316592147945,1479.30833081044,1293.0854504008705,568.8103507060919,1035,9.1483900613697,4460.263500050767,4193.790649948768,1090.792615045985,115,2.333507059845417,10239.234080190605,9086.546408222332,3746.6654604693726
2016,-3.27591690782192,454969,419.4933484069344,258.8624160186749,636.5367244334551,0.5299237704262453,0.3826788196758446,0.6909202417279444,0.0073665991761205,0.537,0.533623062525,40947,29.760269364860857,1387.1443413073946,1235.273283457536,511.9382014985948,4095,8.92073061588243,4157.702437878797,3922.15781846477,983.2402273564248,455,2.389938744139806,10024.950997488811,8566.818392962525,4402.075999664663
2017,1.32286905404399,452297,452.07775752453,278.2752574854386,708.5810232685868,0.5352218518649359,0.3861847646400227,0.6925593066571797,0.0064257734867787,0.539,0.53286657297,40707,29.89807982112956,1501.7963588509351,1292.7417693139532,561.6322514008,4070,8.961657106384523,4502.261963427067,4197.213536733615,1047.600851180282,453,2.559686661348123,11553.816095444943,9653.591134487311,5789.393182490399
2018,1.783666761634,446697,362.7794942845123,218.63975282718377,577.5384555868402,0.544535605277025,0.3941924204955209,0.6966785061603344,0.0061750869202638,0.545,0.538905021683,40203,30.374128229299423,1224.337430547462,1069.7730763330062,462.2445357906255,4020,9.237806844071237,3723.904980648664,3435.7675444271736,881.1636485091436,447,2.6016757824387557,9431.948441280176,8120.905105009682,4103.154000136679
2019,1.22077782360842,438183,373.4886058102362,229.7899196425418,604.3326241689488,0.5431336200205137,0.3924159603574295,0.6959057476042713,0.0057327973211936,0.543,0.534758476099,39437,30.0187051825028,1245.7215190891905,1073.7846712268308,470.2744346868405,3943,9.29350131732809,3857.318225790828,3579.384502629553,942.0104402134984,439,2.690291355003061,10029.2319925361,8528.918245744542,4922.215615335338
2020,-3.2767587964736,349142,294.953757878835,184.7742274317304,449.4994987860226,0.5206088099181541,0.3751542981196268,0.6868964467494456,0.0107198746131622,0.523,0.488220629536,31423,29.29342029262084,960.0159893642503,844.8801549315872,357.1183508514884,3142,8.839917588563416,2897.330676064692,2694.701139307498,700.1788696631602,350,2.514929409148042,7399.694400251725,6322.743094929525,3341.375535587709
2021,4.76260437908608,328532,282.38214792434434,175.5569075604612,425.5547695263842,0.5326660646269714,0.3827932251018157,0.6909001538250492,0.005256900280622,0.544,0.528508850596,29568,29.58998717757936,928.405580578102,807.1581956802816,346.81013976877455,2957,8.891878995112759,2789.6976355311995,2606.448340217576,662.0656368291001,329,2.3964459926333865,6757.509468779525,5941.5811626465165,2676.3740027803133
2022,3.01669435393015,372350,322.43547554985105,204.74501047640928,493.7629724146035,0.5203796582676044,0.3769578613193957,0.6878041904535643,0.010823899380796,0.517,0.518944401741,33511,29.340562544825836,1051.1754879180692,924.2774758649332,380.9171834989609,3351,8.668138507188623,3105.600522017321,2877.920938074018,779.3914831116557,373,2.6055579642486144,8386.602976590406,7089.400449485711,3697.12198548963
2023,3.24165532906981,378054,359.2907978229184,228.05832990731133,533.8785968964396,0.5153428892038816,0.373263464186401,0.6858632077224849,0.0115035341920538,0.517,0.514862434537,34025,29.33988679665333,1171.278662300983,1054.3690172753204,419.94988183735467,3402,8.52114206392789,3402.228108175885,3206.068367956579,797.0432183040505,379,2.4068974652534942,8626.175928892093,7124.52512727311,4125.026515166302
2024,3.41931516501906,377642,346.85358340962614,224.20460237035647,499.70188686465184,0.5070498238534087,0.3676532513203152,0.6830596841401644,0.0128222457457806,0.504,0.502581211667,33988,28.96859568734968,1116.4217979971663,985.3104415944356,388.8529827702661,3399,8.37812995184057,3228.660662841108,2974.5220878322584,802.7656120408301,378,2.3635036965295777,8190.133119344448,7296.223820006794,2928.725395379806
2025,2.2857464902475,403561,390.9591732389968,254.4993851771808,582.7259875330554,0.513743319144383,0.3732195755203865,0.6858073830044944,0.0129976677656725,0.511,,36321,29.33334517019301,1274.21992739966,1117.8596713492566,449.6590366454394,3632,8.558068200223236,3717.6671196104926,3419.532734657376,945.1237721608162,404,2.44153805533085,9535.04462399886,7918.172672057234,4282.751817217241
