year,layer,paper_table,test,estimator,parameter,estimate,standard_error,fit_metric,fit_value,criterion,passed,evidence_status,paper_2009_value,paper_2009_standard_error,difference_from_2009,relative_difference_pct,within_paper_1se
1981,refined,model_test,gompertz_vs_exponential,r2_comparison,delta_r2,0.032424739407851,,delta_r2,0.032424739407851,gompertz_free_r2 > exponential_r2,True,supported,,,,,
1981,refined,table_1,annual_income,descriptive,mean_income_usd,97.24296774377645,,,,descriptive reproduction quantity,,descriptive,88.201,,9.041967743776452,10.25154787788852,
1981,refined,table_2,gompertz,boundary,x_gmax,7.371242712382564,,gompertz_free_correlation_coefficient,0.9868434136959774,correlation_coefficient >= 0.98,True,supported,7.533,,-0.1617572876174362,-2.147315646056501,
1981,refined,table_2,gompertz,free_lsf,A,1.5426976258399587,0.0053565688118706,gompertz_free_correlation_coefficient,0.9868434136959774,correlation_coefficient >= 0.98,True,supported,1.55,0.01,-0.0073023741600413,-0.4711209135510525,True
1981,refined,table_2,gompertz,free_lsf,B,0.3402385293521328,0.0193649609369833,gompertz_free_correlation_coefficient,0.9868434136959774,correlation_coefficient >= 0.98,True,supported,0.34,0.02,0.0002385293521327,0.0701556918037513,True
1981,refined,table_2,gompertz,free_lsf,correlation_coefficient,0.9868434136959774,,gompertz_free_correlation_coefficient,0.9868434136959774,correlation_coefficient >= 0.98,True,supported,0.992,,-0.0051565863040226,-0.519817167744214,
1981,refined,table_2,gompertz,population,population_pct,98.79690299408298,,gompertz_free_correlation_coefficient,0.9868434136959774,correlation_coefficient >= 0.98,True,supported,98.9,,-0.1030970059170215,-0.1042436864681714,
1981,refined,table_3,pareto,boundary,x_pmin,7.371242712382564,,pareto_ls_r2,0.9791595269776886,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,7.533,,-0.1617572876174362,-2.147315646056501,
1981,refined,table_3,pareto,lsf,alpha,3.2614364447545965,0.1372699765781226,pareto_ls_r2,0.9791595269776886,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,3.52,0.09,-0.2585635552454035,-7.345555546744419,False
1981,refined,table_3,pareto,lsf,beta,1210.2487513530125,580.4427735867147,pareto_ls_r2,0.9791595269776886,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,2071.0,781.0,-860.7512486469875,-41.56210761211915,False
1981,refined,table_3,pareto,lsf,correlation_coefficient,0.9895248996249102,,pareto_ls_r2,0.9791595269776886,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,0.993,,-0.0034751003750898,-0.3499597557995771,
1981,refined,table_3,pareto,mle,alpha,2.55833511724752,0.0339455818894581,pareto_mle_r2,0.8597807241263933,finite direct MLE on observations x >= x_t,True,supported,2.84,0.11,-0.2816648827524801,-9.917777561707048,False
1981,refined,table_3,pareto,mle_continuity,beta,243.9044758252704,16.53897461546706,pareto_mle_r2,0.8597807241263933,finite direct MLE on observations x >= x_t,True,supported,444.0,100.0,-200.09552417472963,-45.06655949881298,False
1981,refined,table_3,pareto,population,population_pct,1.2030970059170094,,pareto_ls_r2,0.9791595269776886,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,1.1,,0.1030970059170093,9.372455083364482,
1981,refined,table_3,transition,boundary,x_t,7.371242712382564,,pareto_ls_r2,0.9791595269776886,descriptive reproduction quantity,,descriptive,7.533,0.0,-0.1617572876174362,-2.147315646056501,False
1981,refined,table_4,income_share,gompertz,share_pct,85.84720476113166,,,,descriptive reproduction quantity,,descriptive,87.7,,-1.8527952388683389,-2.11265135560814,
1981,refined,table_4,income_share,pareto,share_pct,14.152795238868336,,,,descriptive reproduction quantity,,descriptive,12.3,,1.8527952388683355,15.063375925758823,
1981,refined,table_4,inequality,lorenz,gini,0.5884866557212263,,,,descriptive reproduction quantity,,descriptive,0.574,,0.0144866557212263,2.5238076169383827,
1981,trusted,model_test,gompertz_vs_exponential,r2_comparison,delta_r2,0.032424739407851,,delta_r2,0.032424739407851,gompertz_free_r2 > exponential_r2,True,supported,,,,,
1981,trusted,table_1,annual_income,descriptive,mean_income_usd,97.24296774377645,,,,descriptive reproduction quantity,,descriptive,88.201,,9.041967743776452,10.25154787788852,
1981,trusted,table_2,gompertz,boundary,x_gmax,7.371242712382564,,gompertz_free_correlation_coefficient,0.9868434136959774,correlation_coefficient >= 0.98,True,supported,7.533,,-0.1617572876174362,-2.147315646056501,
1981,trusted,table_2,gompertz,free_lsf,A,1.5426976258399587,0.0053565688118706,gompertz_free_correlation_coefficient,0.9868434136959774,correlation_coefficient >= 0.98,True,supported,1.55,0.01,-0.0073023741600413,-0.4711209135510525,True
1981,trusted,table_2,gompertz,free_lsf,B,0.3402385293521328,0.0193649609369833,gompertz_free_correlation_coefficient,0.9868434136959774,correlation_coefficient >= 0.98,True,supported,0.34,0.02,0.0002385293521327,0.0701556918037513,True
1981,trusted,table_2,gompertz,free_lsf,correlation_coefficient,0.9868434136959774,,gompertz_free_correlation_coefficient,0.9868434136959774,correlation_coefficient >= 0.98,True,supported,0.992,,-0.0051565863040226,-0.519817167744214,
1981,trusted,table_2,gompertz,population,population_pct,98.79690299408298,,gompertz_free_correlation_coefficient,0.9868434136959774,correlation_coefficient >= 0.98,True,supported,98.9,,-0.1030970059170215,-0.1042436864681714,
1981,trusted,table_3,pareto,boundary,x_pmin,7.371242712382564,,pareto_ls_r2,0.9791595269776886,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,7.533,,-0.1617572876174362,-2.147315646056501,
1981,trusted,table_3,pareto,lsf,alpha,3.2614364447545965,0.1372699765781226,pareto_ls_r2,0.9791595269776886,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,3.52,0.09,-0.2585635552454035,-7.345555546744419,False
1981,trusted,table_3,pareto,lsf,beta,1210.2487513530125,580.4427735867147,pareto_ls_r2,0.9791595269776886,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,2071.0,781.0,-860.7512486469875,-41.56210761211915,False
1981,trusted,table_3,pareto,lsf,correlation_coefficient,0.9895248996249102,,pareto_ls_r2,0.9791595269776886,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,0.993,,-0.0034751003750898,-0.3499597557995771,
1981,trusted,table_3,pareto,mle,alpha,2.55833511724752,0.0339455818894581,pareto_mle_r2,0.8597807241263933,finite direct MLE on observations x >= x_t,True,supported,2.84,0.11,-0.2816648827524801,-9.917777561707048,False
1981,trusted,table_3,pareto,mle_continuity,beta,243.9044758252704,16.53897461546706,pareto_mle_r2,0.8597807241263933,finite direct MLE on observations x >= x_t,True,supported,444.0,100.0,-200.09552417472963,-45.06655949881298,False
1981,trusted,table_3,pareto,population,population_pct,1.2030970059170094,,pareto_ls_r2,0.9791595269776886,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,1.1,,0.1030970059170093,9.372455083364482,
1981,trusted,table_3,transition,boundary,x_t,7.371242712382564,,pareto_ls_r2,0.9791595269776886,descriptive reproduction quantity,,descriptive,7.533,0.0,-0.1617572876174362,-2.147315646056501,False
1981,trusted,table_4,income_share,gompertz,share_pct,85.84720476113166,,,,descriptive reproduction quantity,,descriptive,87.7,,-1.8527952388683389,-2.11265135560814,
1981,trusted,table_4,income_share,pareto,share_pct,14.152795238868336,,,,descriptive reproduction quantity,,descriptive,12.3,,1.8527952388683355,15.063375925758823,
1981,trusted,table_4,inequality,lorenz,gini,0.5884866557212263,,,,descriptive reproduction quantity,,descriptive,0.574,,0.0144866557212263,2.5238076169383827,
1982,refined,model_test,gompertz_vs_exponential,r2_comparison,delta_r2,0.0525191384323061,,delta_r2,0.0525191384323061,gompertz_free_r2 > exponential_r2,True,supported,,,,,
1982,refined,table_1,annual_income,descriptive,mean_income_usd,244.1331072339816,,,,descriptive reproduction quantity,,descriptive,94.505,,149.62810723398158,158.32824425584,
1982,refined,table_2,gompertz,boundary,x_gmax,7.849559609203476,,gompertz_free_correlation_coefficient,0.9916999997021272,correlation_coefficient >= 0.98,True,supported,7.473,,0.3765596092034764,5.038934955218472,
1982,refined,table_2,gompertz,free_lsf,A,1.536240201198786,0.0046107688545268,gompertz_free_correlation_coefficient,0.9916999997021272,correlation_coefficient >= 0.98,True,supported,1.55,0.01,-0.0137597988012141,-0.8877289549170413,False
1982,refined,table_2,gompertz,free_lsf,B,0.3302483095104128,0.015272896499915,gompertz_free_correlation_coefficient,0.9916999997021272,correlation_coefficient >= 0.98,True,supported,0.34,0.02,-0.0097516904895872,-2.8681442616433053,True
1982,refined,table_2,gompertz,free_lsf,correlation_coefficient,0.9916999997021272,,gompertz_free_correlation_coefficient,0.9916999997021272,correlation_coefficient >= 0.98,True,supported,0.993,,-0.0013000002978729,-0.1309164449016028,
1982,refined,table_2,gompertz,population,population_pct,98.76235828760666,,gompertz_free_correlation_coefficient,0.9916999997021272,correlation_coefficient >= 0.98,True,supported,98.9,,-0.1376417123933464,-0.1391726111156182,
1982,refined,table_3,pareto,boundary,x_pmin,7.849559609203476,,pareto_ls_r2,0.9963078235845512,pareto_ls_r2 >= 0.98 and selected tail supported,True,supported,7.473,,0.3765596092034764,5.038934955218472,
1982,refined,table_3,pareto,lsf,alpha,2.875419105934236,0.0407515901927349,pareto_ls_r2,0.9963078235845512,pareto_ls_r2 >= 0.98 and selected tail supported,True,supported,2.53,0.04,0.3454191059342362,13.652929088309731,False
1982,refined,table_3,pareto,lsf,beta,455.2882006757643,56.81107475573701,pareto_ls_r2,0.9963078235845512,pareto_ls_r2 >= 0.98 and selected tail supported,True,supported,150.5,20.8,304.7882006757643,202.51707686097296,False
1982,refined,table_3,pareto,lsf,correlation_coefficient,0.9981522046183894,,pareto_ls_r2,0.9963078235845512,pareto_ls_r2 >= 0.98 and selected tail supported,True,supported,0.997,,0.0011522046183893,0.1155671633289253,
1982,refined,table_3,pareto,mle,alpha,2.8848761334133064,0.0570285060495118,pareto_mle_r2,0.9910185019330612,finite direct MLE on observations x >= x_t,True,supported,2.68,0.06,0.2048761334133062,7.644631843780083,False
1982,refined,table_3,pareto,mle_continuity,beta,541.7818676264862,63.66197486535458,pareto_mle_r2,0.9910185019330612,finite direct MLE on observations x >= x_t,True,supported,316.0,40.0,225.78186762648625,71.44995810964754,False
1982,refined,table_3,pareto,population,population_pct,1.237641712393338,,pareto_ls_r2,0.9963078235845512,pareto_ls_r2 >= 0.98 and selected tail supported,True,supported,1.1,,0.137641712393338,12.512882944848908,
1982,refined,table_3,transition,boundary,x_t,7.849559609203476,,pareto_ls_r2,0.9963078235845512,descriptive reproduction quantity,,descriptive,7.473,0.0,0.3765596092034764,5.038934955218472,False
1982,refined,table_4,income_share,gompertz,share_pct,85.17953980734302,,,,descriptive reproduction quantity,,descriptive,87.2,,-2.020460192656984,-2.317041505340577,
1982,refined,table_4,income_share,pareto,share_pct,14.82046019265698,,,,descriptive reproduction quantity,,descriptive,12.8,,2.02046019265698,15.784845255132655,
1982,refined,table_4,inequality,lorenz,gini,0.5898439323148535,,,,descriptive reproduction quantity,,descriptive,0.581,,0.0088439323148535,1.522191448339688,
1982,trusted,model_test,gompertz_vs_exponential,r2_comparison,delta_r2,0.0525191384323061,,delta_r2,0.0525191384323061,gompertz_free_r2 > exponential_r2,True,supported,,,,,
1982,trusted,table_1,annual_income,descriptive,mean_income_usd,244.1331072339816,,,,descriptive reproduction quantity,,descriptive,94.505,,149.62810723398158,158.32824425584,
1982,trusted,table_2,gompertz,boundary,x_gmax,7.849559609203476,,gompertz_free_correlation_coefficient,0.9916999997021272,correlation_coefficient >= 0.98,True,supported,7.473,,0.3765596092034764,5.038934955218472,
1982,trusted,table_2,gompertz,free_lsf,A,1.536240201198786,0.0046107688545268,gompertz_free_correlation_coefficient,0.9916999997021272,correlation_coefficient >= 0.98,True,supported,1.55,0.01,-0.0137597988012141,-0.8877289549170413,False
1982,trusted,table_2,gompertz,free_lsf,B,0.3302483095104128,0.015272896499915,gompertz_free_correlation_coefficient,0.9916999997021272,correlation_coefficient >= 0.98,True,supported,0.34,0.02,-0.0097516904895872,-2.8681442616433053,True
1982,trusted,table_2,gompertz,free_lsf,correlation_coefficient,0.9916999997021272,,gompertz_free_correlation_coefficient,0.9916999997021272,correlation_coefficient >= 0.98,True,supported,0.993,,-0.0013000002978729,-0.1309164449016028,
1982,trusted,table_2,gompertz,population,population_pct,98.76235828760666,,gompertz_free_correlation_coefficient,0.9916999997021272,correlation_coefficient >= 0.98,True,supported,98.9,,-0.1376417123933464,-0.1391726111156182,
1982,trusted,table_3,pareto,boundary,x_pmin,7.849559609203476,,pareto_ls_r2,0.9963078235845512,pareto_ls_r2 >= 0.98 and selected tail supported,True,supported,7.473,,0.3765596092034764,5.038934955218472,
1982,trusted,table_3,pareto,lsf,alpha,2.875419105934236,0.0407515901927349,pareto_ls_r2,0.9963078235845512,pareto_ls_r2 >= 0.98 and selected tail supported,True,supported,2.53,0.04,0.3454191059342362,13.652929088309731,False
