year,log_bin_ratio,normalization_mean_income_adj_2025_usd,positive_income_observation_n,gompertz_A,gompertz_B,gompertz_r2,gompertz_sse,gompertz_x_gmax,gompertz_point_n,gompertz_selection_status,gompertz_boundary_A_free,gompertz_boundary_B_free,gompertz_boundary_r2_free,gompertz_population_n,gompertz_population_pct,gompertz_ccdf_at_x_t_percent,bootstrap_reps,gompertz_B_bootstrap_se,gompertz_A_free_bootstrap_se,gompertz_B_free_bootstrap_se,exponential_intercept,exponential_alpha,exponential_r2,gompertz_income_share_pct
2016,1.1,724.2162452144747,229781,1.5271796258079011,0.4025453065361473,0.9352566139581874,1.6942536817174398,5.790470983521455,75,largest_range_with_free_A_in_1.4_to_1.6,1.5824013039344975,0.4207364479641712,0.941553293307175,227402,98.96466635622616,1.355768748229372,1000.0,0.03393047837931002,0.017779282522668666,0.039714285909320905,4.5550181468931,0.8862289526201695,0.9581925121069146,89.76676980638005
2017,1.1,780.5852766171955,228485,1.5271796258079011,0.3970118568159733,0.9626111727022738,1.020608817195287,6.057845762362985,79,largest_range_with_free_A_in_1.4_to_1.6,1.5760918264300998,0.4124174251267301,0.9676965635956398,225627,98.74915202310872,1.5153898879339127,1000.0,0.024189596007174078,0.011699147907930125,0.02543097362862344,4.5434654007685396,0.8620557862565924,0.9566442663302335,87.87119042777911
2018,1.1,612.3017078335542,227235,1.5271796258079011,0.4262575066139916,0.950919518888359,2.0759263212175783,6.953900774021797,79,largest_range_with_free_A_in_1.4_to_1.6,1.5946655004038048,0.4447736051941564,0.9571675029993252,225737,99.34077056791428,1.126884041220534,1000.0,0.029789440659884515,0.01602275915297508,0.03088509370387448,4.511357114412742,0.7993830444417198,0.9464320494577408,91.57089107421987
2019,1.1,628.0161927738719,225215,1.5271796258079011,0.4002164865364364,0.9713677759242424,1.0775833063561056,7.091028465546687,81,largest_range_with_free_A_in_1.4_to_1.6,1.5764677973850234,0.4134796381168938,0.9752420486400944,222624,98.84954376928712,1.3094578781605577,1000.0,0.02057826424926376,0.010307203875827918,0.02102382426445902,4.502508065044112,0.7841268003893378,0.938307693729421,87.44304122614767
2020,1.1,508.3830659687131,132773,1.5271796258079011,0.370377352406734,0.9856322403532952,0.3516516827320514,6.356300258380844,72,largest_range_with_free_A_in_1.4_to_1.6,1.5693302673435443,0.3830227165532526,0.9893378717096976,130904,98.592334284832,1.5485786583768288,1000.0,0.011426878591718898,0.006461737377961239,0.012093771269963324,4.521975987557496,0.8225650702353586,0.9473134085236864,87.57982997638445
2021,1.1,478.3538045705561,172350,1.5271796258079011,0.4013892948229683,0.9666147448502336,1.0921485352993134,6.629131636273755,74,largest_range_with_free_A_in_1.4_to_1.6,1.5872045421674963,0.41865767349271,0.9724568352844348,170334,98.83028720626632,1.3796719622478877,1000.0,0.02193288690289934,0.010058926495280281,0.023273663467637585,4.541664869268627,0.8224842618375674,0.9505945703402872,89.31320231046237
2022,1.1,518.5004735499999,205272,1.5271796258079011,0.3892233029218283,0.963261016054272,1.0796519867497918,6.433713154331938,79,largest_range_with_free_A_in_1.4_to_1.6,1.5731402491841675,0.4028528957029726,0.9674319864142528,204545,99.64583576912584,1.0711723598918677,1000.0,0.024020873982591586,0.01181255012673829,0.026411670955359682,4.5326730760814735,0.8287159190534947,0.9480663600708938,94.79471246384341
2023,1.1,579.5356416565653,201821,1.5271796258079011,0.4098201375280164,0.9470390213553552,1.884603231885128,6.648120071247216,78,largest_range_with_free_A_in_1.4_to_1.6,1.585915060130923,0.4266750735206259,0.9525678465709142,199574,98.88663716858008,1.352550772214589,1000.0,0.030814689557137516,0.01659405076803655,0.03401932589859355,4.5200280441216,0.8167754052773714,0.9465380910217709,88.67594463287678
2024,1.1,548.5700430550867,208266,1.5271796258079011,0.3896541524241281,0.9804228969058558,0.6067294111669312,6.719783763051317,75,largest_range_with_free_A_in_1.4_to_1.6,1.5757461654101204,0.403439104436696,0.9845356709156944,205614,98.72662844631384,1.3990721111740865,1000.0,0.015381837192755057,0.008157518204095588,0.016263116364127063,4.5176311567602525,0.8096140592353709,0.9430707338028872,87.4738692384907
2025,1.1,599.976711892788,215331,1.5271796258079011,0.3663175129962257,0.988339857802738,0.2332954004096015,5.782608258153999,75,largest_range_with_free_A_in_1.4_to_1.6,1.5628693446919186,0.3780904609011103,0.991779854808113,214617,99.66841745963193,1.1078025301687813,1000.0,0.009292055757582955,0.005018156699977721,0.009270858103782885,4.548214571357556,0.8711529260924143,0.9549565108019633,95.4162762363782
